#没有用的资料罢了，B站的中立性被钻了空子#





活动排名         视频号           活动投票数     观看数                视频标题
   5    av497743671/BV1ZK411L7ds     17550       21143     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     17222       13593     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     16958       14648     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     16723       19899     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     15837       13951     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     15323       11429     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   11    av795139145/BV1jC4y1s73n     14785       8068     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     14526       8204     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     14259       7315     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     13160       7117     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     11787       6385     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     11191       6938     【肖战】啊..哥..太快了..
   38    av837723547/BV1Bg4y187b1     4265       2710     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   42    av752633930/BV1ak4y197ut     3990       2187     【肖战｜民国故梦】豪门贵公子的旧梦时光
   44    av455218792/BV1t5411t7xB     3794       1795     西窗烟雨 ‖ 肖战古风治愈向混剪
   46    av710126493/BV1mQ4y1M76Z     3716       2779     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   47    av882691900/BV1bK4y1r79U     3601       1461     【肖战】唯一的你 | 肖学长 | 校园风混剪
   49    av412720063/BV1yV411o7PM     3503       1446     【肖战｜个人向】小冤家
   52    av200173885/BV1zz411b7Zh     3274       1565     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   55    av242680034/BV1ue41147xy     3138       1979     【肖战|E.T.】超A混剪
   56    av582673600/BV1a64y1u7Jf     3073       1306     【肖战】一个永远都在鞠躬的男孩
   57    av967734351/BV1Up4y1C7TE     3004       1134     【肖战｜个人向】A向杂志踩点混剪
   61    av840144173/BV1e54y1d7Ch     2780       3067     【肖战|Grind me down】超A超欲苏向踩点
   63    av882722906/BV1zK4y1r7rx     2681       982     【肖战/古装混剪】陌上人如玉，公子世无双
   65    av285179652/BV1kc411h7gW     2492       2299     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   66    av285205286/BV1Qc411h7qV     2375       1405     【肖战】跳舞心动挑战，你能坚持几秒？
   72    av582697296/BV1664y1u7Ak     2059       1065     肖战×魏无羡——吹梦到西洲
   80    av200212016/BV1Dz411b7ro     1446       584     【肖战心动瞬间】✦演技明场面 | 燃向合集
   81    av327732912/BV1FA411b7xD     1441       415     肖战，王一博，博君一肖
   83    av200188935/BV1Rz411b7Uw     1310       588     肖战—只为你的笑容不被辜负
   86    av412743571/BV1rV411o7dP     1245       463     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   87    av752683081/BV1ok4y19789     1210       477     肖战 | 魏无羡 | 心生七面 善恶难辨
   88    av370149850/BV1cZ4y1x7SR     1209       499     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   89    av752705204/BV1Xk4y197ri     1169       562     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   90    av412644944/BV13V411o7BR     1137       317     【肖战】GIF合集|一起舔颜叭~
   95    av840225816/BV1M54y197WV     1089       452     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   98    av582640054/BV1p64y1u7F8     1003       333     【肖战】魏无羡混剪

2020-04-09 10:45:52：
   1    av200133555/BV14z411b79Z     21257       58069     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     20291       38419     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     19122       21433     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     18974       25495     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     17582       21189     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     17257       13645     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     16999       14710     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     16763       19953     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     15874       13982     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     15353       11458     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   11    av795139145/BV1jC4y1s73n     14816       8099     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     14552       8218     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     14290       7333     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     13195       7133     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     11818       6406     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     11218       6958     【肖战】啊..哥..太快了..
   38    av837723547/BV1Bg4y187b1     4292       2723     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   42    av752633930/BV1ak4y197ut     4017       2201     【肖战｜民国故梦】豪门贵公子的旧梦时光
   44    av455218792/BV1t5411t7xB     3820       1810     西窗烟雨 ‖ 肖战古风治愈向混剪
   46    av710126493/BV1mQ4y1M76Z     3741       2793     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   47    av882691900/BV1bK4y1r79U     3629       1471     【肖战】唯一的你 | 肖学长 | 校园风混剪
   49    av412720063/BV1yV411o7PM     3531       1461     【肖战｜个人向】小冤家
   52    av200173885/BV1zz411b7Zh     3302       1575     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   54    av242680034/BV1ue41147xy     3162       1994     【肖战|E.T.】超A混剪
   56    av582673600/BV1a64y1u7Jf     3097       1312     【肖战】一个永远都在鞠躬的男孩
   57    av967734351/BV1Up4y1C7TE     3027       1152     【肖战｜个人向】A向杂志踩点混剪
   61    av840144173/BV1e54y1d7Ch     2801       3095     【肖战|Grind me down】超A超欲苏向踩点
   63    av882722906/BV1zK4y1r7rx     2702       988     【肖战/古装混剪】陌上人如玉，公子世无双
   65    av285179652/BV1kc411h7gW     2498       2305     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   66    av285205286/BV1Qc411h7qV     2390       1414     【肖战】跳舞心动挑战，你能坚持几秒？
   72    av582697296/BV1664y1u7Ak     2074       1074     肖战×魏无羡——吹梦到西洲
   80    av200212016/BV1Dz411b7ro     1465       591     【肖战心动瞬间】✦演技明场面 | 燃向合集
   81    av327732912/BV1FA411b7xD     1446       417     肖战，王一博，博君一肖
   83    av200188935/BV1Rz411b7Uw     1324       596     肖战—只为你的笑容不被辜负
   86    av412743571/BV1rV411o7dP     1259       470     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   87    av370149850/BV1cZ4y1x7SR     1226       502     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   88    av752683081/BV1ok4y19789     1226       478     肖战 | 魏无羡 | 心生七面 善恶难辨
   89    av752705204/BV1Xk4y197ri     1186       569     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   90    av412644944/BV13V411o7BR     1152       318     【肖战】GIF合集|一起舔颜叭~
   93    av840225816/BV1M54y197WV     1103       455     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   98    av582640054/BV1p64y1u7F8     1016       334     【肖战】魏无羡混剪

2020-04-09 10:50:53：
   1    av200133555/BV14z411b79Z     21304       58306     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     20334       38528     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     19157       21484     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     19008       25557     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     17607       21233     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     17281       13687     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     17029       14740     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     16793       20002     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     15900       14037     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     15381       11499     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   11    av795139145/BV1jC4y1s73n     14847       8134     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     14575       8250     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     14316       7354     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     13222       7159     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     11843       6424     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     11240       6973     【肖战】啊..哥..太快了..
   38    av837723547/BV1Bg4y187b1     4320       2742     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   42    av752633930/BV1ak4y197ut     4042       2219     【肖战｜民国故梦】豪门贵公子的旧梦时光
   44    av455218792/BV1t5411t7xB     3847       1823     西窗烟雨 ‖ 肖战古风治愈向混剪
   45    av710126493/BV1mQ4y1M76Z     3762       2808     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   47    av882691900/BV1bK4y1r79U     3654       1480     【肖战】唯一的你 | 肖学长 | 校园风混剪
   48    av412720063/BV1yV411o7PM     3548       1464     【肖战｜个人向】小冤家
   52    av200173885/BV1zz411b7Zh     3320       1582     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   54    av242680034/BV1ue41147xy     3182       2006     【肖战|E.T.】超A混剪
   56    av582673600/BV1a64y1u7Jf     3114       1319     【肖战】一个永远都在鞠躬的男孩
   57    av967734351/BV1Up4y1C7TE     3042       1175     【肖战｜个人向】A向杂志踩点混剪
   61    av840144173/BV1e54y1d7Ch     2815       3115     【肖战|Grind me down】超A超欲苏向踩点
   63    av882722906/BV1zK4y1r7rx     2716       994     【肖战/古装混剪】陌上人如玉，公子世无双
   65    av285179652/BV1kc411h7gW     2502       2314     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   66    av285205286/BV1Qc411h7qV     2400       1423     【肖战】跳舞心动挑战，你能坚持几秒？
   72    av582697296/BV1664y1u7Ak     2089       1082     肖战×魏无羡——吹梦到西洲
   80    av200212016/BV1Dz411b7ro     1479       600     【肖战心动瞬间】✦演技明场面 | 燃向合集
   81    av327732912/BV1FA411b7xD     1452       418     肖战，王一博，博君一肖
   83    av200188935/BV1Rz411b7Uw     1336       607     肖战—只为你的笑容不被辜负
   86    av412743571/BV1rV411o7dP     1274       478     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   87    av752683081/BV1ok4y19789     1240       483     肖战 | 魏无羡 | 心生七面 善恶难辨
   88    av370149850/BV1cZ4y1x7SR     1238       506     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   89    av752705204/BV1Xk4y197ri     1197       574     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   90    av412644944/BV13V411o7BR     1165       322     【肖战】GIF合集|一起舔颜叭~
   92    av840225816/BV1M54y197WV     1113       457     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   98    av582640054/BV1p64y1u7F8     1025       338     【肖战】魏无羡混剪

2020-04-09 10:55:53：
   1    av200133555/BV14z411b79Z     21358       58498     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     20382       38636     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     19207       21558     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     19062       25645     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     17643       21291     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     17320       13734     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     17063       14770     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     16828       20044     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     15932       14084     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     15411       11541     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   11    av795139145/BV1jC4y1s73n     14882       8184     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     14600       8279     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     14345       7373     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     13248       7175     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     11868       6439     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     11267       6992     【肖战】啊..哥..太快了..
   38    av837723547/BV1Bg4y187b1     4344       2752     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   42    av752633930/BV1ak4y197ut     4066       2233     【肖战｜民国故梦】豪门贵公子的旧梦时光
   44    av455218792/BV1t5411t7xB     3872       1841     西窗烟雨 ‖ 肖战古风治愈向混剪
   45    av710126493/BV1mQ4y1M76Z     3783       2821     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   47    av882691900/BV1bK4y1r79U     3677       1495     【肖战】唯一的你 | 肖学长 | 校园风混剪
   48    av412720063/BV1yV411o7PM     3572       1477     【肖战｜个人向】小冤家
   52    av200173885/BV1zz411b7Zh     3340       1594     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   54    av242680034/BV1ue41147xy     3199       2035     【肖战|E.T.】超A混剪
   56    av582673600/BV1a64y1u7Jf     3131       1330     【肖战】一个永远都在鞠躬的男孩
   57    av967734351/BV1Up4y1C7TE     3057       1202     【肖战｜个人向】A向杂志踩点混剪
   61    av840144173/BV1e54y1d7Ch     2829       3151     【肖战|Grind me down】超A超欲苏向踩点
   63    av882722906/BV1zK4y1r7rx     2732       1003     【肖战/古装混剪】陌上人如玉，公子世无双
   65    av285179652/BV1kc411h7gW     2509       2320     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   66    av285205286/BV1Qc411h7qV     2408       1433     【肖战】跳舞心动挑战，你能坚持几秒？
   72    av582697296/BV1664y1u7Ak     2099       1090     肖战×魏无羡——吹梦到西洲
   80    av200212016/BV1Dz411b7ro     1494       604     【肖战心动瞬间】✦演技明场面 | 燃向合集
   81    av327732912/BV1FA411b7xD     1459       419     肖战，王一博，博君一肖
   83    av200188935/BV1Rz411b7Uw     1349       613     肖战—只为你的笑容不被辜负
   86    av412743571/BV1rV411o7dP     1288       483     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   87    av752683081/BV1ok4y19789     1253       487     肖战 | 魏无羡 | 心生七面 善恶难辨
   88    av370149850/BV1cZ4y1x7SR     1250       514     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   89    av752705204/BV1Xk4y197ri     1208       578     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   90    av412644944/BV13V411o7BR     1176       327     【肖战】GIF合集|一起舔颜叭~
   92    av840225816/BV1M54y197WV     1125       465     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   98    av582640054/BV1p64y1u7F8     1039       339     【肖战】魏无羡混剪

2020-04-09 11:00:53：
   1    av200133555/BV14z411b79Z     21408       58806     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     20427       38735     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     19250       21625     ［肖战］美颜系列—《我们的歌》1
